table_name;cid;column_name;data_type;not_null;default_value;is_pk
alembic_version;0;version_num;VARCHAR(32);1;;1
tb_importancia;0;cod_id;VARCHAR(2);1;;1
tb_importancia;1;tipo_importancia;VARCHAR(20);1;;0
tb_importancia;2;desc_importancia;VARCHAR(100);1;;0
tb_estado_tarea;0;cod_id;VARCHAR(2);1;;1
tb_estado_tarea;1;desc_estado_tarea;VARCHAR(50);1;;0
tb_tarea_calificada;0;cod_id_califica;INTEGER;1;;1
tb_tarea_calificada;1;cod_id_tarea;INTEGER;1;;0
tb_tarea_calificada;2;fecha_calificado;DATE;0;;0
tb_tarea_calificada;3;texto_calificado;TEXT;0;;0
tb_tarea_calificada;4;puntuacion_calificado;INTEGER;0;;0
tb_tarea_calificada;5;estatus_calificado;VARCHAR(2);1;;0
tareas;0;id;INTEGER;1;;1
tareas;1;titulo;VARCHAR(100);1;;0
tareas;2;descripcion;TEXT;0;;0
tareas;3;completada;BOOLEAN;0;;0
tareas;4;fecha_creacion;DATE;0;;0
tareas;5;user_id;INTEGER;1;;0
tareas;6;fecha_entrega;DATE;0;;0
tareas;7;importancia_id;VARCHAR(2);0;;0
tareas;8;estado_id;VARCHAR(2);0;;0
tareas;9;asignado_a_id;INTEGER;0;;0
tareas;10;calificacion_id;INTEGER;0;;0
usuarios;0;id;INTEGER;1;;1
usuarios;1;nombre;VARCHAR(50);1;;0
usuarios;2;apellido;VARCHAR(50);1;;0
usuarios;3;email;VARCHAR(120);1;;0
usuarios;4;clave_hash;VARCHAR(128);1;;0
usuarios;5;fecha_nacimiento;DATE;1;;0
usuarios;6;rol;VARCHAR(8);1;;0
usuarios;7;is_blocked;BOOLEAN;0;;0
